,hospital_overall_rating,emergency_services,hospital_type,mortality_national_comparison,safety_of_care_national_comparison,readmission_national_comparison,patient_experience_national_comparison,effectiveness_of_care_national_comparison,timeliness_of_care_national_comparison
227,,True,1,4,4,4,4,4,4
228,,True,1,4,4,4,4,4,4
229,,True,1,4,4,4,4,2,4
230,,True,1,4,4,4,4,4,4
231,,True,3,4,4,4,4,4,4
232,4.0,True,1,1,3,1,1,2,2
233,3.0,True,1,2,3,2,2,1,2
234,4.0,True,1,3,1,1,1,1,2
235,2.0,True,1,2,3,3,3,2,2
236,2.0,True,1,2,3,2,2,2,3
237,3.0,True,1,2,2,1,1,1,1
238,3.0,True,1,2,2,2,1,2,3
239,,True,1,4,4,4,4,3,4
240,,True,2,4,4,2,4,4,4
241,3.0,True,1,2,2,2,2,3,1
242,2.0,True,1,2,1,3,3,1,2
243,3.0,True,1,2,1,3,1,2,2
244,4.0,True,1,2,2,2,2,2,1
245,,True,2,4,4,4,4,4,4
246,,True,2,2,4,3,4,4,4
247,3.0,True,1,2,2,1,2,2,1
248,3.0,True,1,2,2,2,2,2,2
249,3.0,True,1,2,4,2,4,3,2
250,2.0,True,1,2,3,2,1,1,1
251,4.0,True,1,2,4,2,1,2,1
252,2.0,True,1,2,2,2,3,3,2
253,,True,2,4,4,4,4,4,4
254,,True,2,4,4,2,4,4,4
255,3.0,True,2,2,4,2,2,2,1
256,,True,3,4,2,4,4,4,4
257,3.0,True,1,2,3,1,1,1,2
258,4.0,False,1,4,2,4,1,2,4
259,4.0,True,1,2,1,1,2,1,3
260,,True,2,4,4,4,4,4,4
261,2.0,True,2,2,4,3,3,4,4
262,2.0,True,1,3,1,3,2,2,3
263,3.0,True,1,2,2,3,2,1,2
264,,False,1,4,4,4,4,4,4
265,3.0,True,1,2,2,2,2,1,1
266,2.0,True,1,2,3,2,3,2,3
267,2.0,True,1,3,3,3,2,1,2
268,3.0,True,1,2,1,3,3,2,1
269,3.0,True,1,2,4,2,4,2,2
270,,True,2,4,4,2,4,4,4
271,2.0,True,1,2,3,3,3,1,1
272,3.0,True,1,2,3,1,2,1,1
273,3.0,True,1,3,2,1,1,2,1
274,4.0,True,1,2,2,2,2,2,1
275,3.0,True,2,2,4,2,4,2,1
276,,True,2,2,4,2,4,4,4
277,1.0,True,1,2,2,3,3,2,3
278,,True,1,4,4,4,4,4,4
279,,True,1,4,4,4,4,4,4
280,2.0,True,1,3,4,2,4,3,4
281,,True,1,4,4,4,4,4,4
282,,True,1,2,4,3,4,4,4
283,3.0,True,1,2,2,2,2,2,2
284,,True,2,4,4,2,4,4,4
285,3.0,True,1,1,3,1,2,2,2
286,3.0,True,1,3,1,2,2,1,2
287,3.0,True,1,3,2,1,3,1,1
288,3.0,True,1,2,1,2,3,2,1
289,,True,2,4,4,4,2,2,2
290,3.0,True,1,2,2,2,3,1,3
291,3.0,True,1,1,3,1,2,1,3
292,3.0,True,1,2,3,1,3,2,3
293,,True,1,4,4,4,3,2,2
294,3.0,True,1,2,2,3,1,1,3
295,3.0,True,1,1,1,2,3,2,3
296,2.0,True,1,2,1,3,3,1,2
297,4.0,True,1,2,2,2,1,1,1
298,2.0,True,1,3,3,1,3,1,3
299,,True,1,4,4,4,4,3,2
300,3.0,True,1,2,2,2,2,1,3
301,,False,1,4,4,4,4,4,4
302,,True,2,4,4,2,1,4,4
303,,True,2,4,4,2,4,4,4
304,1.0,True,1,2,3,3,3,2,3
305,3.0,True,1,2,3,1,2,3,3
306,4.0,True,1,2,1,1,3,1,1
307,2.0,True,1,3,1,3,3,1,1
308,,True,1,4,4,4,4,4,4
309,,True,2,4,4,4,4,4,4
310,2.0,True,1,2,2,3,3,3,3
311,3.0,True,1,4,2,4,1,1,4
312,2.0,True,1,1,3,3,1,1,3
313,3.0,True,1,2,3,1,2,3,1
314,2.0,True,1,1,3,3,3,2,2
315,3.0,True,1,3,1,1,3,2,3
316,2.0,True,1,2,1,2,3,2,3
317,1.0,True,1,2,1,3,3,3,3
318,4.0,True,1,2,4,2,1,2,1
319,,True,2,4,4,2,4,4,4
320,3.0,True,1,1,3,2,3,3,3
321,3.0,True,1,2,1,2,2,1,3
322,3.0,True,1,2,3,3,1,2,3
323,,False,3,4,4,4,4,4,4
324,3.0,True,1,2,1,3,2,3,3
325,2.0,True,1,2,2,3,3,1,1
326,,True,2,2,4,2,4,4,4
327,3.0,True,1,2,2,1,2,2,3
328,3.0,True,1,3,1,3,2,2,2
329,3.0,True,1,2,2,2,2,2,2
330,4.0,True,1,1,3,1,1,2,2
331,2.0,True,1,2,2,3,3,2,3
332,2.0,True,1,2,2,2,3,2,3
333,3.0,True,1,2,1,3,3,1,1
334,3.0,True,1,1,1,3,3,2,3
335,3.0,True,1,2,2,1,3,2,1
336,,False,1,4,4,4,1,2,4
337,,True,2,4,4,4,4,4,4
338,3.0,True,1,2,2,3,2,1,3
339,4.0,True,1,1,1,2,2,1,3
340,2.0,True,1,2,3,3,3,2,2
341,,True,2,4,4,2,1,4,4
342,4.0,True,1,2,3,1,1,1,2
343,2.0,True,1,2,2,2,3,2,3
344,,False,2,4,4,4,4,4,4
345,4.0,True,1,1,1,3,2,2,3
346,4.0,True,1,2,2,1,1,2,2
347,4.0,True,1,1,1,3,3,2,2
348,4.0,True,1,4,4,2,1,2,1
349,4.0,True,2,4,4,2,1,4,4
350,,False,1,4,4,4,4,2,4
351,4.0,True,1,1,1,2,1,1,3
352,2.0,True,1,2,3,2,3,1,3
353,4.0,True,1,2,1,1,2,1,2
354,3.0,True,1,2,4,2,2,2,1
355,4.0,True,1,1,1,3,2,1,3
356,2.0,True,1,2,1,3,3,1,3
357,4.0,True,1,1,3,1,2,3,3
358,4.0,True,1,2,1,2,1,1,2
359,2.0,True,1,3,2,2,3,1,2
360,,True,1,4,4,4,4,4,4
361,3.0,True,1,2,1,3,2,2,1
362,2.0,True,1,2,1,3,3,1,3
363,3.0,True,1,3,1,2,1,1,1
364,3.0,True,1,2,2,2,2,3,2
365,2.0,True,1,3,3,2,3,1,2
366,,True,1,4,4,4,4,4,4
367,3.0,True,1,2,1,3,3,1,3
368,1.0,True,1,2,3,3,3,3,3
369,3.0,True,2,2,2,2,4,4,4
370,,True,2,2,4,2,4,4,4
371,2.0,True,1,2,2,2,3,2,2
372,,True,2,4,4,4,4,4,4
373,,True,2,4,4,2,4,4,4
374,3.0,True,1,2,2,2,3,2,2
375,3.0,True,1,2,2,2,2,2,1
376,4.0,False,1,4,2,4,1,2,4
377,4.0,True,1,2,2,1,1,1,2
378,3.0,True,1,4,2,4,2,2,4
379,4.0,True,1,1,2,1,1,1,2
380,3.0,True,1,2,2,3,1,1,2
381,3.0,True,1,2,4,2,2,3,2
382,2.0,True,1,2,2,2,3,2,2
383,4.0,True,1,2,1,1,2,3,2
384,,True,2,4,4,4,4,4,4
385,4.0,True,1,1,2,2,1,2,2
386,,True,2,4,4,4,4,4,4
387,3.0,True,1,2,2,3,1,1,2
388,2.0,True,1,2,1,3,3,1,1
389,4.0,True,2,4,4,2,1,2,4
390,3.0,True,1,2,3,2,1,2,3
391,,False,3,4,4,4,4,4,4
392,3.0,True,1,2,2,2,2,2,3
393,3.0,False,1,2,4,2,4,2,1
394,,True,3,4,4,4,4,4,4
395,2.0,True,1,3,3,1,3,2,3
396,3.0,True,1,2,3,3,1,1,3
397,3.0,False,2,2,4,2,2,2,2
398,,True,2,2,4,2,4,4,4
399,4.0,True,1,2,2,1,2,2,3
400,2.0,True,1,2,2,2,3,2,3
401,3.0,True,1,3,1,3,2,3,2
402,4.0,True,1,2,2,1,1,1,1
403,2.0,True,1,2,3,3,3,2,3
404,1.0,True,1,3,3,2,3,2,3
405,3.0,True,1,2,2,2,3,1,1
406,5.0,True,1,2,1,1,1,1,2
407,,True,2,4,4,2,4,4,4
408,4.0,True,1,2,2,2,4,3,2
409,2.0,True,1,2,2,3,3,1,2
410,3.0,True,1,2,1,3,1,3,1
411,3.0,True,1,2,1,1,2,2,1
412,3.0,True,1,4,2,4,2,1,4
413,,True,3,4,4,4,4,4,4
414,1.0,True,1,2,3,3,3,1,2
415,4.0,True,1,2,2,1,1,2,2
416,2.0,True,1,2,3,2,3,2,3
417,2.0,True,1,2,3,3,3,1,3
418,4.0,True,1,2,2,1,3,1,2
419,,True,3,4,2,4,4,4,4
420,,True,3,4,2,4,4,4,4
421,3.0,True,1,2,2,2,2,3,2
422,3.0,True,1,2,2,1,2,2,3
423,1.0,True,1,2,2,2,3,3,3
424,3.0,True,1,4,2,4,3,1,4
425,2.0,True,1,2,2,3,3,1,1
426,3.0,True,1,2,4,2,2,3,2
427,4.0,True,2,4,4,2,1,3,4
428,,True,2,2,4,2,4,4,4
429,3.0,True,1,2,2,2,2,2,2
430,3.0,True,1,2,2,2,3,2,1
431,,True,3,4,4,4,4,4,4
432,,True,2,4,4,4,4,4,4
433,2.0,True,1,2,2,2,3,2,3
434,2.0,True,1,2,1,3,3,2,3
435,3.0,True,1,1,2,3,3,3,3
436,3.0,True,1,2,2,2,2,2,2
437,2.0,True,1,3,3,2,1,1,1
438,4.0,True,1,2,1,1,1,2,2
439,2.0,True,1,3,2,3,2,2,2
440,1.0,True,1,2,3,2,3,2,3
441,,False,2,4,4,4,4,4,4
442,4.0,True,2,2,4,2,1,4,2
443,3.0,True,1,1,2,2,3,1,2
444,,False,1,4,4,4,2,2,4
445,4.0,True,1,2,1,1,1,2,1
446,3.0,True,1,2,1,2,3,2,2
447,3.0,True,1,1,1,3,3,3,3
448,3.0,True,1,2,2,2,3,1,2
449,,True,2,2,4,2,4,4,4
450,2.0,True,1,2,2,1,3,2,3
451,,False,1,4,4,4,4,2,4
452,3.0,True,1,2,1,2,3,2,2
453,,False,1,4,4,4,4,3,4
454,2.0,True,1,2,2,3,3,2,3
455,1.0,True,1,2,3,3,3,2,3
456,3.0,True,1,2,1,3,3,1,3
457,5.0,False,1,4,1,4,1,2,4
458,3.0,True,1,2,4,2,1,2,2
459,3.0,True,1,3,1,2,1,1,2
460,5.0,False,1,1,1,1,1,1,4
461,3.0,True,1,2,2,2,3,1,3
462,2.0,True,1,3,2,1,3,2,3
463,3.0,True,1,2,3,1,2,2,1
464,3.0,True,1,4,2,4,1,1,4
465,2.0,True,1,2,3,2,2,1,3
466,3.0,True,1,2,2,3,1,1,2
467,3.0,True,1,2,3,2,2,2,2
468,2.0,True,1,3,1,2,3,2,3
469,4.0,True,1,1,1,3,1,2,2
470,3.0,True,1,2,2,2,2,2,2
471,2.0,True,1,3,1,3,3,3,3
472,3.0,True,1,2,1,1,3,2,3
473,3.0,True,1,2,2,2,2,3,2
474,4.0,True,1,2,1,1,2,1,2
475,3.0,True,1,1,1,3,1,2,3
476,4.0,True,1,2,3,1,1,1,3
477,2.0,True,1,3,1,3,3,1,1
478,3.0,False,1,2,2,2,3,2,3
479,2.0,True,1,2,2,3,3,2,1
480,1.0,True,1,2,3,3,3,2,3
481,2.0,True,1,2,3,2,2,2,2
482,4.0,True,1,1,1,2,2,2,2
483,4.0,True,1,2,1,2,1,1,2
484,3.0,True,1,2,1,2,3,1,2
485,3.0,True,1,2,4,2,2,2,2
486,5.0,True,1,2,1,1,1,2,2
487,3.0,True,1,2,1,2,3,1,2
488,,True,1,4,4,4,4,4,1
489,3.0,True,2,2,4,2,4,3,4
490,3.0,True,1,1,1,2,2,2,2
491,3.0,True,1,2,3,1,1,1,1
492,2.0,True,1,2,1,3,3,2,2
493,,True,1,4,4,4,1,2,1
494,3.0,True,1,2,1,3,3,2,3
495,3.0,True,1,2,2,2,2,2,2
496,3.0,True,1,2,2,1,1,2,1
497,3.0,True,1,4,2,4,2,1,4
498,2.0,True,1,2,1,3,3,1,3
499,4.0,True,2,2,4,2,2,2,2
500,3.0,False,1,2,2,1,3,3,2
501,,False,1,4,4,4,1,4,4
502,3.0,True,1,4,4,2,2,2,1
503,4.0,True,1,2,1,1,2,1,2
504,,True,2,4,4,4,4,4,4
505,,True,1,4,4,4,4,3,2
506,3.0,True,2,4,4,2,2,3,1
507,3.0,True,1,2,2,2,2,2,3
